kitA,kitB,seed,duration,endReason,winner,castsA,castsB,distinctVerbs,statuses,leadChanges,dmgToA,dmgToB,hpScale,hpA,hpB,mana
a-defensive-earth-warden-1,a-hit-and-run-wind-duelist-1,2,12.7,death,a-defensive-earth-warden-1,6,6,6,18,1,358.9,1331.2,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-1,a-defensive-earth-warden-1,2,12.7,death,a-defensive-earth-warden-1,6,6,6,17,1,1331.2,397.4,8.0,1280.0,1280.0,250.0
a-defensive-earth-warden-1,a-hit-and-run-wind-duelist-1,3,12.2,death,a-defensive-earth-warden-1,6,5,6,15,1,298.6,1331.2,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-1,a-defensive-earth-warden-1,3,12.7,death,a-defensive-earth-warden-1,6,6,6,17,1,1331.2,397.4,8.0,1280.0,1280.0,250.0
a-defensive-earth-warden-1,a-hit-and-run-wind-duelist-1,4,12.7,death,a-defensive-earth-warden-1,6,6,6,18,1,358.9,1331.2,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-1,a-defensive-earth-warden-1,4,12.7,death,a-defensive-earth-warden-1,6,6,6,17,1,1331.2,397.4,8.0,1280.0,1280.0,250.0
a-defensive-earth-warden-1,a-hit-and-run-wind-duelist-1,5,12.7,death,a-defensive-earth-warden-1,6,6,6,18,1,358.9,1331.2,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-1,a-defensive-earth-warden-1,5,12.7,death,a-defensive-earth-warden-1,6,6,6,17,1,1331.2,397.4,8.0,1280.0,1280.0,250.0
a-defensive-earth-warden-1,a-hit-and-run-wind-duelist-2,1,20.9,death,a-defensive-earth-warden-1,9,9,6,21,1,406.3,1280.0,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-2,a-defensive-earth-warden-1,1,20.9,death,a-defensive-earth-warden-1,9,9,6,21,1,1280.0,452.2,8.0,1280.0,1280.0,250.0
a-defensive-earth-warden-1,a-hit-and-run-wind-duelist-2,2,20.9,death,a-defensive-earth-warden-1,9,9,6,21,1,406.3,1280.0,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-2,a-defensive-earth-warden-1,2,13.7,death,a-defensive-earth-warden-1,7,6,6,17,1,1280.0,322.9,8.0,1280.0,1280.0,250.0
a-defensive-earth-warden-1,a-hit-and-run-wind-duelist-2,3,20.9,death,a-defensive-earth-warden-1,9,9,6,21,1,406.3,1280.0,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-2,a-defensive-earth-warden-1,3,13.7,death,a-defensive-earth-warden-1,7,6,6,17,1,1280.0,322.9,8.0,1280.0,1280.0,250.0
a-defensive-earth-warden-1,a-hit-and-run-wind-duelist-2,4,21.9,death,a-defensive-earth-warden-1,9,9,6,22,1,406.3,1280.0,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-2,a-defensive-earth-warden-1,4,22.9,death,a-defensive-earth-warden-1,11,9,6,24,1,1280.0,517.5,8.0,1280.0,1280.0,250.0
a-defensive-earth-warden-1,a-hit-and-run-wind-duelist-2,5,20.9,death,a-defensive-earth-warden-1,9,9,6,21,1,406.3,1280.0,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-2,a-defensive-earth-warden-1,5,20.9,death,a-defensive-earth-warden-1,9,9,6,21,1,1280.0,452.2,8.0,1280.0,1280.0,250.0
a-defensive-earth-warden-2,a-hit-and-run-wind-duelist-1,1,11.4,death,a-defensive-earth-warden-2,5,5,6,18,1,269.2,1333.8,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-1,a-defensive-earth-warden-2,1,10.9,death,a-defensive-earth-warden-2,5,5,6,14,1,1418.2,347.1,8.0,1280.0,1280.0,250.0
a-defensive-earth-warden-2,a-hit-and-run-wind-duelist-1,2,10.5,death,a-defensive-earth-warden-2,5,4,6,16,1,200.2,1321.0,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-1,a-defensive-earth-warden-2,2,10.9,death,a-defensive-earth-warden-2,5,5,6,14,1,1418.2,347.1,8.0,1280.0,1280.0,250.0
a-defensive-earth-warden-2,a-hit-and-run-wind-duelist-1,3,10.5,death,a-defensive-earth-warden-2,5,4,6,16,1,200.2,1321.0,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-1,a-defensive-earth-warden-2,3,10.9,death,a-defensive-earth-warden-2,5,5,6,14,1,1418.2,347.1,8.0,1280.0,1280.0,250.0
a-defensive-earth-warden-2,a-hit-and-run-wind-duelist-1,4,11.4,death,a-defensive-earth-warden-2,5,5,6,18,1,269.2,1333.8,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-1,a-defensive-earth-warden-2,4,10.9,death,a-defensive-earth-warden-2,5,5,6,14,1,1418.2,347.1,8.0,1280.0,1280.0,250.0
a-defensive-earth-warden-2,a-hit-and-run-wind-duelist-1,5,10.5,death,a-defensive-earth-warden-2,5,4,6,16,1,200.2,1321.0,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-1,a-defensive-earth-warden-2,5,10.9,death,a-defensive-earth-warden-2,5,5,6,14,1,1418.2,347.1,8.0,1280.0,1280.0,250.0
a-defensive-earth-warden-2,a-hit-and-run-wind-duelist-2,1,12.9,death,a-defensive-earth-warden-2,5,6,6,20,1,263.2,1308.2,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-2,a-defensive-earth-warden-2,1,10.9,death,a-defensive-earth-warden-2,5,5,6,15,1,1331.2,261.8,8.0,1280.0,1280.0,250.0
a-defensive-earth-warden-2,a-hit-and-run-wind-duelist-2,2,12.9,death,a-defensive-earth-warden-2,5,6,6,20,1,263.2,1308.2,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-2,a-defensive-earth-warden-2,2,10.9,death,a-defensive-earth-warden-2,5,5,6,15,1,1331.2,261.8,8.0,1280.0,1280.0,250.0
a-defensive-earth-warden-2,a-hit-and-run-wind-duelist-2,3,11.9,death,a-defensive-earth-warden-2,5,6,6,19,1,263.2,1354.2,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-2,a-defensive-earth-warden-2,3,10.9,death,a-defensive-earth-warden-2,5,5,6,15,1,1331.2,261.8,8.0,1280.0,1280.0,250.0
a-defensive-earth-warden-2,a-hit-and-run-wind-duelist-2,4,19.9,death,a-defensive-earth-warden-2,7,8,6,23,3,344.8,1415.7,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-2,a-defensive-earth-warden-2,4,10.9,death,a-defensive-earth-warden-2,5,5,6,15,1,1331.2,261.8,8.0,1280.0,1280.0,250.0
a-defensive-earth-warden-2,a-hit-and-run-wind-duelist-2,5,11.9,death,a-defensive-earth-warden-2,5,6,6,19,1,263.2,1354.2,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-2,a-defensive-earth-warden-2,5,10.9,death,a-defensive-earth-warden-2,5,5,6,15,1,1331.2,261.8,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-1,a-hit-and-run-wind-duelist-2,1,30.4,oom,a-hit-and-run-wind-duelist-2,11,13,5,19,0,1186.1,759.4,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-2,a-hit-and-run-wind-duelist-1,1,27.4,death,a-hit-and-run-wind-duelist-2,12,11,5,18,0,661.4,1302.2,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-1,a-hit-and-run-wind-duelist-2,2,30.4,oom,a-hit-and-run-wind-duelist-2,11,13,5,19,0,1186.1,759.4,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-2,a-hit-and-run-wind-duelist-1,2,27.4,death,a-hit-and-run-wind-duelist-2,12,11,5,18,0,563.5,1302.2,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-1,a-hit-and-run-wind-duelist-2,3,30.4,oom,a-hit-and-run-wind-duelist-2,11,13,5,19,0,1186.1,759.4,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-2,a-hit-and-run-wind-duelist-1,3,27.4,death,a-hit-and-run-wind-duelist-2,12,11,5,18,0,759.4,1302.2,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-1,a-hit-and-run-wind-duelist-2,4,30.4,oom,a-hit-and-run-wind-duelist-2,11,13,5,19,0,1186.1,661.4,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-2,a-hit-and-run-wind-duelist-1,4,27.4,death,a-hit-and-run-wind-duelist-2,12,11,5,18,0,759.4,1302.2,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-1,a-hit-and-run-wind-duelist-2,5,30.4,oom,a-hit-and-run-wind-duelist-2,11,13,5,19,0,1186.1,759.4,8.0,1280.0,1280.0,250.0
a-hit-and-run-wind-duelist-2,a-hit-and-run-wind-duelist-1,5,27.4,death,a-hit-and-run-wind-duelist-2,12,11,5,18,0,759.4,1302.2,8.0,1280.0,1280.0,250.0
a-patient-frost-controller-1,a-patient-frost-controller-2,1,42.6,oom,a-patient-frost-controller-2,11,11,5,17,1,510.0,326.0,8.0,800.0,800.0,250.0
a-patient-frost-controller-2,a-patient-frost-controller-1,1,40.1,oom,a-patient-frost-controller-2,11,11,5,17,0,360.0,462.4,8.0,800.0,800.0,250.0
a-patient-frost-controller-1,a-patient-frost-controller-2,2,42.6,oom,a-patient-frost-controller-2,11,11,5,17,1,510.0,326.0,8.0,800.0,800.0,250.0
a-patient-frost-controller-2,a-patient-frost-controller-1,2,40.1,oom,a-patient-frost-controller-2,11,11,5,17,0,360.0,462.4,8.0,800.0,800.0,250.0
a-patient-frost-controller-1,a-patient-frost-controller-2,3,42.6,oom,a-patient-frost-controller-2,11,11,5,17,1,510.0,326.0,8.0,800.0,800.0,250.0
a-patient-frost-controller-2,a-patient-frost-controller-1,3,40.1,oom,a-patient-frost-controller-2,11,11,5,17,0,360.0,462.4,8.0,800.0,800.0,250.0
a-patient-frost-controller-1,a-patient-frost-controller-2,4,42.6,oom,a-patient-frost-controller-2,11,11,5,17,1,510.0,326.0,8.0,800.0,800.0,250.0
a-patient-frost-controller-2,a-patient-frost-controller-1,4,40.1,oom,a-patient-frost-controller-2,11,11,5,17,0,360.0,462.4,8.0,800.0,800.0,250.0
a-patient-frost-controller-1,a-patient-frost-controller-2,5,42.6,oom,a-patient-frost-controller-2,11,11,5,17,1,510.0,326.0,8.0,800.0,800.0,250.0
a-patient-frost-controller-2,a-patient-frost-controller-1,5,40.1,oom,a-patient-frost-controller-2,11,11,5,17,0,360.0,462.4,8.0,800.0,800.0,250.0
a-patient-frost-controller-1,a-reckless-fire-skirmisher-1,1,19.8,death,a-reckless-fire-skirmisher-1,8,5,6,8,1,806.0,240.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-1,a-patient-frost-controller-1,1,15.9,death,a-reckless-fire-skirmisher-1,6,6,6,7,1,192.0,810.0,8.0,800.0,800.0,250.0
a-patient-frost-controller-1,a-reckless-fire-skirmisher-1,2,19.8,death,a-reckless-fire-skirmisher-1,8,5,6,8,1,806.0,240.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-1,a-patient-frost-controller-1,2,15.9,death,a-reckless-fire-skirmisher-1,6,6,6,7,1,192.0,810.0,8.0,800.0,800.0,250.0
a-patient-frost-controller-1,a-reckless-fire-skirmisher-1,3,19.8,death,a-reckless-fire-skirmisher-1,8,5,6,8,1,806.0,240.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-1,a-patient-frost-controller-1,3,15.9,death,a-reckless-fire-skirmisher-1,6,6,6,7,1,192.0,810.0,8.0,800.0,800.0,250.0
a-patient-frost-controller-1,a-reckless-fire-skirmisher-1,4,19.8,death,a-reckless-fire-skirmisher-1,8,5,6,8,1,806.0,240.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-1,a-patient-frost-controller-1,4,15.9,death,a-reckless-fire-skirmisher-1,6,6,6,7,1,192.0,810.0,8.0,800.0,800.0,250.0
a-patient-frost-controller-1,a-reckless-fire-skirmisher-1,5,19.8,death,a-reckless-fire-skirmisher-1,8,5,6,8,1,806.0,240.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-1,a-patient-frost-controller-1,5,15.9,death,a-reckless-fire-skirmisher-1,6,6,6,7,1,192.0,810.0,8.0,800.0,800.0,250.0
a-patient-frost-controller-1,a-reckless-fire-skirmisher-2,1,17.5,death,a-reckless-fire-skirmisher-2,6,5,5,8,1,832.0,180.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-2,a-patient-frost-controller-1,1,10.2,death,a-reckless-fire-skirmisher-2,4,4,5,5,1,120.0,910.0,8.0,800.0,800.0,250.0
a-patient-frost-controller-1,a-reckless-fire-skirmisher-2,2,17.5,death,a-reckless-fire-skirmisher-2,6,5,5,8,1,832.0,180.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-2,a-patient-frost-controller-1,2,10.2,death,a-reckless-fire-skirmisher-2,4,4,5,5,1,120.0,910.0,8.0,800.0,800.0,250.0
a-patient-frost-controller-1,a-reckless-fire-skirmisher-2,3,17.5,death,a-reckless-fire-skirmisher-2,6,5,5,8,1,832.0,180.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-2,a-patient-frost-controller-1,3,10.2,death,a-reckless-fire-skirmisher-2,4,4,5,5,1,120.0,910.0,8.0,800.0,800.0,250.0
a-patient-frost-controller-1,a-reckless-fire-skirmisher-2,4,17.5,death,a-reckless-fire-skirmisher-2,6,5,5,8,1,832.0,180.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-2,a-patient-frost-controller-1,4,10.2,death,a-reckless-fire-skirmisher-2,4,4,5,5,1,120.0,910.0,8.0,800.0,800.0,250.0
a-patient-frost-controller-1,a-reckless-fire-skirmisher-2,5,17.5,death,a-reckless-fire-skirmisher-2,6,5,5,8,1,832.0,180.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-2,a-patient-frost-controller-1,5,10.2,death,a-reckless-fire-skirmisher-2,4,4,5,5,1,120.0,910.0,8.0,800.0,800.0,250.0
a-patient-frost-controller-2,a-reckless-fire-skirmisher-1,1,19.8,death,a-reckless-fire-skirmisher-1,8,5,6,8,1,806.0,390.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-1,a-patient-frost-controller-2,1,13.9,death,a-reckless-fire-skirmisher-1,6,6,6,6,1,267.0,810.0,8.0,800.0,800.0,250.0
a-patient-frost-controller-2,a-reckless-fire-skirmisher-1,2,19.8,death,a-reckless-fire-skirmisher-1,8,5,6,8,1,806.0,390.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-1,a-patient-frost-controller-2,2,13.9,death,a-reckless-fire-skirmisher-1,6,6,6,6,1,267.0,810.0,8.0,800.0,800.0,250.0
a-patient-frost-controller-2,a-reckless-fire-skirmisher-1,3,19.8,death,a-reckless-fire-skirmisher-1,8,5,6,8,1,806.0,390.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-1,a-patient-frost-controller-2,3,13.9,death,a-reckless-fire-skirmisher-1,6,6,6,6,1,267.0,810.0,8.0,800.0,800.0,250.0
a-patient-frost-controller-2,a-reckless-fire-skirmisher-1,4,19.8,death,a-reckless-fire-skirmisher-1,8,5,6,8,1,806.0,390.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-1,a-patient-frost-controller-2,4,13.9,death,a-reckless-fire-skirmisher-1,6,6,6,6,1,267.0,810.0,8.0,800.0,800.0,250.0
a-patient-frost-controller-2,a-reckless-fire-skirmisher-1,5,19.8,death,a-reckless-fire-skirmisher-1,8,5,6,8,1,806.0,390.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-1,a-patient-frost-controller-2,5,13.9,death,a-reckless-fire-skirmisher-1,6,6,6,6,1,267.0,810.0,8.0,800.0,800.0,250.0
a-patient-frost-controller-2,a-reckless-fire-skirmisher-2,1,18.3,death,a-reckless-fire-skirmisher-2,8,5,6,9,1,832.0,390.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-2,a-patient-frost-controller-2,1,10.2,death,a-reckless-fire-skirmisher-2,4,4,6,5,1,195.0,910.0,8.0,800.0,800.0,250.0
a-patient-frost-controller-2,a-reckless-fire-skirmisher-2,2,18.3,death,a-reckless-fire-skirmisher-2,8,5,6,9,1,832.0,390.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-2,a-patient-frost-controller-2,2,10.2,death,a-reckless-fire-skirmisher-2,4,4,6,5,1,195.0,910.0,8.0,800.0,800.0,250.0
a-patient-frost-controller-2,a-reckless-fire-skirmisher-2,3,18.3,death,a-reckless-fire-skirmisher-2,8,5,6,9,1,832.0,390.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-2,a-patient-frost-controller-2,3,10.2,death,a-reckless-fire-skirmisher-2,4,4,6,5,1,195.0,910.0,8.0,800.0,800.0,250.0
a-patient-frost-controller-2,a-reckless-fire-skirmisher-2,4,18.3,death,a-reckless-fire-skirmisher-2,8,5,6,9,1,832.0,390.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-2,a-patient-frost-controller-2,4,10.2,death,a-reckless-fire-skirmisher-2,4,4,6,5,1,195.0,910.0,8.0,800.0,800.0,250.0
a-patient-frost-controller-2,a-reckless-fire-skirmisher-2,5,18.3,death,a-reckless-fire-skirmisher-2,8,5,6,9,1,832.0,390.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-2,a-patient-frost-controller-2,5,10.2,death,a-reckless-fire-skirmisher-2,4,4,6,5,1,195.0,910.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-1,a-reckless-fire-skirmisher-2,1,8.7,death,a-reckless-fire-skirmisher-2,4,4,5,5,0,806.0,590.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-2,a-reckless-fire-skirmisher-1,1,10.2,death,a-reckless-fire-skirmisher-2,5,5,5,5,0,710.0,830.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-1,a-reckless-fire-skirmisher-2,2,8.7,death,a-reckless-fire-skirmisher-2,4,4,5,5,0,806.0,590.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-2,a-reckless-fire-skirmisher-1,2,10.2,death,a-reckless-fire-skirmisher-2,5,5,5,5,0,710.0,830.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-1,a-reckless-fire-skirmisher-2,3,8.7,death,a-reckless-fire-skirmisher-2,4,4,5,5,0,806.0,590.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-2,a-reckless-fire-skirmisher-1,3,10.2,death,a-reckless-fire-skirmisher-2,5,5,5,5,0,710.0,830.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-1,a-reckless-fire-skirmisher-2,4,8.7,death,a-reckless-fire-skirmisher-2,4,4,5,5,0,806.0,590.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-2,a-reckless-fire-skirmisher-1,4,10.2,death,a-reckless-fire-skirmisher-2,5,5,5,5,0,710.0,830.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-1,a-reckless-fire-skirmisher-2,5,8.7,death,a-reckless-fire-skirmisher-2,4,4,5,5,0,806.0,590.0,8.0,800.0,800.0,250.0
a-reckless-fire-skirmisher-2,a-reckless-fire-skirmisher-1,5,10.2,death,a-reckless-fire-skirmisher-2,5,5,5,5,0,710.0,830.0,8.0,800.0,800.0,250.0
a-shadow-assassin-built-on-setup-and-burst-1,a-shadow-assassin-built-on-setup-and-burst-2,1,13.6,death,a-shadow-assassin-built-on-setup-and-burst-1,6,6,5,17,1,1434.9,2099.2,8.0,2048.0,2048.0,250.0
a-shadow-assassin-built-on-setup-and-burst-2,a-shadow-assassin-built-on-setup-and-burst-1,1,13.6,death,a-shadow-assassin-built-on-setup-and-burst-2,6,6,5,17,1,1434.9,2099.2,8.0,2048.0,2048.0,250.0
a-shadow-assassin-built-on-setup-and-burst-1,a-shadow-assassin-built-on-setup-and-burst-2,2,13.6,death,a-shadow-assassin-built-on-setup-and-burst-1,6,6,5,17,1,1434.9,2099.2,8.0,2048.0,2048.0,250.0
a-shadow-assassin-built-on-setup-and-burst-2,a-shadow-assassin-built-on-setup-and-burst-1,2,13.6,death,a-shadow-assassin-built-on-setup-and-burst-2,6,6,5,17,1,1434.9,2099.2,8.0,2048.0,2048.0,250.0
a-shadow-assassin-built-on-setup-and-burst-1,a-shadow-assassin-built-on-setup-and-burst-2,3,13.6,death,a-shadow-assassin-built-on-setup-and-burst-1,6,6,5,17,1,1434.9,2099.2,8.0,2048.0,2048.0,250.0
a-shadow-assassin-built-on-setup-and-burst-2,a-shadow-assassin-built-on-setup-and-burst-1,3,13.6,death,a-shadow-assassin-built-on-setup-and-burst-2,6,6,5,17,1,1434.9,2099.2,8.0,2048.0,2048.0,250.0
a-shadow-assassin-built-on-setup-and-burst-1,a-shadow-assassin-built-on-setup-and-burst-2,4,13.6,death,a-shadow-assassin-built-on-setup-and-burst-1,6,6,5,17,1,1434.9,2099.2,8.0,2048.0,2048.0,250.0
a-shadow-assassin-built-on-setup-and-burst-2,a-shadow-assassin-built-on-setup-and-burst-1,4,13.6,death,a-shadow-assassin-built-on-setup-and-burst-2,6,6,5,17,1,1434.9,2099.2,8.0,2048.0,2048.0,250.0
a-shadow-assassin-built-on-setup-and-burst-1,a-shadow-assassin-built-on-setup-and-burst-2,5,13.6,death,a-shadow-assassin-built-on-setup-and-burst-1,6,6,5,17,1,1434.9,2099.2,8.0,2048.0,2048.0,250.0
a-shadow-assassin-built-on-setup-and-burst-2,a-shadow-assassin-built-on-setup-and-burst-1,5,13.6,death,a-shadow-assassin-built-on-setup-and-burst-2,6,6,5,17,1,1434.9,2099.2,8.0,2048.0,2048.0,250.0
